,record_id,source,timestamp,text,L1_Intent
0,slack-0,slack,2025-08-09T11:56:00Z,Policy engine: per-intent thresholds for go/no-go,Unknown
1,slack-1,slack,2025-08-03T15:01:00Z,Azure OpenAI swedencentral region unsupported in UI; docs mention it,Unknown
2,slack-2,slack,2025-08-06T15:11:00Z,Need to pin & lock a 'golden set' before launch,Product Functionality Questions
3,slack-3,slack,2025-07-28T23:29:00Z,IP allowlist for webhook callbacks—static egress IPs?,Integration Problems
4,slack-4,slack,2025-08-02T14:40:00Z,Export embeddings + labels to Databricks Unity Catalog,Data Management Issues
5,slack-5,slack,2025-07-30T12:36:00Z,UI filters reset after back navigation (Chrome 128),User Experience Issues
6,slack-6,slack,2025-07-27T19:01:00Z,Need to pin & lock a 'golden set' before launch,Unknown
7,slack-7,slack,2025-07-29T21:56:00Z,Azure OpenAI eastus2 region unsupported in UI; docs mention it,Unknown
8,slack-8,slack,2025-07-30T19:21:00Z,Bedrock Claude 3 Sonnet intermittently 429 during nightly runs,Platform Technical Issues
9,slack-9,slack,2025-07-21T10:12:00Z,IP allowlist for webhook callbacks—static egress IPs?,Unknown
10,slack-10,slack,2025-08-10T08:33:00Z,Import human ratings from CSV to compare with pairwise,Data Management Issues
11,slack-11,slack,2025-08-02T03:46:00Z,SOC2 team needs latest data retention PDF,Security and Compliance Inquiries
12,slack-12,slack,2025-08-03T17:23:00Z,RBAC: cannot assign 'analyst' role to SSO users,Authentication and Access Issues
13,slack-13,slack,2025-07-29T12:08:00Z,Model switch from gpt-4o to gpt-4o-mini changes metrics by 3%,Reproducibility and Evaluation Concerns
14,slack-14,slack,2025-07-28T09:39:00Z,Import human ratings from CSV to compare with pairwise,Data Management Issues
15,slack-15,slack,2025-08-08T10:54:00Z,SOC2 team needs latest data retention PDF,Unknown
16,slack-16,slack,2025-07-31T12:20:00Z,Streaming chunking yields mismatched token counts,Unknown
17,slack-17,slack,2025-08-07T19:34:00Z,RBAC: cannot assign 'analyst' role to SSO users,Unknown
18,slack-18,slack,2025-08-09T05:29:00Z,How to set a seed for deterministic few-shot prompts,Product Functionality Questions
19,slack-19,slack,2025-07-30T06:59:00Z,SSO role mapping fails for group name 'qa/regression',Authentication and Access Issues
20,slack-20,slack,2025-08-03T10:28:00Z,SSO role mapping fails for group name 'qa/regression',Unknown
21,slack-21,slack,2025-07-21T06:28:00Z,SSO role mapping fails for group name 'qa/regression',Unknown
22,slack-22,slack,2025-08-10T06:20:00Z,Webhook to warehouse returns 400 when scores.custom has nulls,Unknown
23,slack-23,slack,2025-07-25T19:14:00Z,Reproducibility: eval replay gives slightly different scores,Unknown
24,slack-24,slack,2025-08-01T15:31:00Z,Bedrock Llama 3 70B intermittently 429 during nightly runs,Platform Technical Issues
25,slack-25,slack,2025-08-09T16:29:00Z,Azure OpenAI westus3 region unsupported in UI; docs mention it,Unknown
26,slack-26,slack,2025-08-10T14:11:00Z,Embedding latency jump to ~2.9s yesterday around 1:00 UTC,Performance and Latency Concerns
27,slack-27,slack,2025-08-07T05:17:00Z,Bedrock Claude 3.5 Haiku intermittently 429 during nightly runs,Unknown
28,slack-28,slack,2025-08-10T10:41:00Z,SOC2 team needs latest data retention PDF,Unknown
29,slack-29,slack,2025-08-10T00:04:00Z,Bedrock Llama 3 70B intermittently 429 during nightly runs,Unknown
30,slack-30,slack,2025-07-30T03:13:00Z,Policy engine: per-intent thresholds for go/no-go,Unknown
31,slack-31,slack,2025-08-03T20:39:00Z,Policy engine: per-intent thresholds for go/no-go,Unknown
32,slack-32,slack,2025-08-07T15:16:00Z,Azure OpenAI eastus2 region unsupported in UI; docs mention it,Unknown
33,slack-33,slack,2025-07-22T11:28:00Z,How to set a seed for deterministic few-shot prompts,Unknown
34,slack-34,slack,2025-08-07T05:08:00Z,Embedding latency jump to ~4.2s yesterday around 0:00 UTC,Unknown
35,slack-35,slack,2025-08-08T14:27:00Z,UI filters reset after back navigation (Chrome 126),User Experience Issues
36,slack-36,slack,2025-07-23T21:49:00Z,500 on POST /api/v1/runs when dataset has >50000 rows,Unknown
37,slack-37,slack,2025-07-28T17:06:00Z,RBAC: cannot assign 'analyst' role to SSO users,Authentication and Access Issues
38,slack-38,slack,2025-07-24T08:57:00Z,RBAC: cannot assign 'analyst' role to SSO users,Unknown
39,slack-39,slack,2025-08-09T06:10:00Z,Import human ratings from CSV to compare with pairwise,Unknown
40,slack-40,slack,2025-07-21T15:11:00Z,Need to pin & lock a 'golden set' before launch,Product Functionality Questions
41,slack-41,slack,2025-07-21T22:23:00Z,RBAC: cannot assign 'analyst' role to SSO users,Authentication and Access Issues
42,slack-42,slack,2025-07-24T01:24:00Z,Bedrock Llama 3 70B intermittently 429 during nightly runs,Unknown
43,slack-43,slack,2025-07-22T17:47:00Z,Billing overage on evaluation credits—need breakdown,Billing and Subscription Queries
44,slack-44,slack,2025-07-26T14:46:00Z,IP allowlist for webhook callbacks—static egress IPs?,Unknown
45,email-45,email,2025-07-23T23:51:00Z,"Integration: Databricks vector export
Embedding latency p95 exceeded 4.2s on 2025-08-10. Any incident notes?",Integration Problems
46,email-46,email,2025-08-05T11:40:00Z,"RBAC: Role mapping policy questions
Our auditors need an export of go/no-go decisions and thresholds by intent.",Policy and Governance Questions
47,email-47,email,2025-08-07T06:15:00Z,"RBAC: Role mapping policy questions
Our auditors need an export of go/no-go decisions and thresholds by intent.",Unknown
48,email-48,email,2025-07-26T21:57:00Z,"Integration: Databricks vector export
Our firewall blocks outbound except allowlisted IPs. Do you publish static egress IPs for callback webhooks?",Unknown
49,email-49,email,2025-08-07T21:40:00Z,"Incident: Elevated 5xx yesterday
SRE here—monitor flagged elevated 5xx from /runs API between 02:10–02:27 UTC. Root cause and mitigation?",Incident Reporting
50,email-50,email,2025-07-19T13:00:00Z,"Security: IP allowlist for callback webhooks
We want higher precision for Safety than UX. Is that supported in the new policy engine?",Security and Compliance Inquiries
51,email-51,email,2025-07-19T04:35:00Z,"Bug: CSV import fails on UTF-8 BOM
Our auditors need an export of go/no-go decisions and thresholds by intent.",Unknown
52,email-52,email,2025-07-29T02:43:00Z,"Request: Private data redaction in transcripts
Our firewall blocks outbound except allowlisted IPs. Do you publish static egress IPs for callback webhooks?",Data Management Issues
53,email-53,email,2025-08-06T02:54:00Z,"Billing overage on evaluation credits
Our firewall blocks outbound except allowlisted IPs. Do you publish static egress IPs for callback webhooks?",Billing and Subscription Queries
54,email-54,email,2025-07-27T21:31:00Z,"Request: Private data redaction in transcripts
We hit rate limits on GPT-4o last night. Can we configure provider fallbacks?",Unknown
55,email-55,email,2025-07-29T21:36:00Z,"Feature: Per-intent thresholds for go/no-go
Importing our ratings CSV returns 'Invalid schema at row 1'. The file has a UTF-8 BOM; can the parser handle it?",Unknown
56,email-56,email,2025-07-29T03:38:00Z,"Incident: Elevated 5xx yesterday
Hello,
We appear to have crossed the evaluation credit cap unexpectedly last week. Could you share a breakdown by model/provider and any spikes?",Billing and Subscription Queries
57,email-57,email,2025-07-29T14:50:00Z,"Feature: Per-intent thresholds for go/no-go
For audit, we need identical results when re-running with the same seed and artifacts. What are current guarantees?",Unknown
